animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
1,Cowboy Bebop,Spring 1998,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,26,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,8.81,363889,704490
5,Cowboy Bebop: Tengoku no Tobira,None,"['Action', 'Space', 'Drama', 'Mystery', 'Sci-Fi']",Movie,1,"['Sunrise', 'Bandai Visual']",['Sony Pictures Entertainment'],['Bones'],Original,8.41,111187,179899
6,Trigun,Spring 1998,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,26,['Victor Entertainment'],"['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Manga,8.31,197451,372709
7,Witch Hunter Robin,Summer 2002,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,26,['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,7.34,31875,74889
8,Beet the Vandel Buster,Fall 2004,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,52,[],[],['Toei Animation'],Manga,7.04,4757,11247
15,Eyeshield 21,Spring 2005,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,145,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Sentai Filmworks'],['Studio Gallop'],Manga,8.05,48765,106468
16,Hachimitsu to Clover,Spring 2005,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,24,"['Genco', 'Fuji TV', 'Shueisha']",['Viz Media'],['J.C.Staff'],Manga,8.14,54367,160236
17,Hungry Heart: Wild Striker,Fall 2002,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,52,[],[],['Nippon Animation'],Manga,7.69,8868,16132
18,Initial D Fourth Stage,Spring 2004,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,24,"['OB Planning', 'Studio Jack']",['Funimation'],['A.C.G.T.'],Manga,8.24,37575,64338
19,Monster,Spring 2004,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,74,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Viz Media'],['Madhouse'],Manga,8.69,118553,352153
20,Naruto,Fall 2002,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",TV,220,"['TV Tokyo', 'Aniplex', 'Shueisha']",['Viz Media'],['Studio Pierrot'],Manga,7.88,645672,975394
21,One Piece,Fall 1999,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,0,"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],Manga,8.54,422109,716639
22,Tennis no Ouji-sama,Fall 2001,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",TV,178,"['Production I.G', 'Nihon Ad Systems']",['Viz Media'],['Trans Arts'],Manga,8.01,48076,107296
23,Ring ni Kakero 1,Fall 2004,"['Action', 'Shounen', 'Sports']",TV,12,[],[],['Toei Animation'],Manga,6.59,763,2725
24,School Rumble,Fall 2004,"['Comedy', 'Romance', 'School', 'Shounen']",TV,26,"['TV Tokyo', 'Sotsu', 'Marvelous', 'Starchild Records', 'Media Factory', 'DAX Production', 'Studio Jack']",['Funimation'],['Studio Comet'],Manga,8.02,101509,214291
25,Sunabouzu,Fall 2004,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",TV,24,"['GDH', 'Pony Canyon', 'CBC']",['Funimation'],['Gonzo'],Manga,7.52,34345,83460
